bin,n,avg_pred,obs_rate,p_min,p_max
"(-0.00099999678, 0.165]",6151,0.11851336992988813,0.013981466428223054,3.2202941084146866e-09,0.16462239280581767
"(0.165, 0.229]",6150,0.19757630426769354,0.0208130081300813,0.16464230601792273,0.2288869752831695
"(0.229, 0.286]",6150,0.2575417536046137,0.032032520325203255,0.22890012912959382,0.285512463631129
"(0.286, 0.341]",6150,0.31362252423229026,0.03219512195121951,0.28553311286038796,0.34146647623616666
"(0.341, 0.398]",6151,0.36927175665741957,0.05007315883596163,0.34147574303257605,0.398237659339798
"(0.398, 0.46]",6150,0.4288343492761558,0.06308943089430895,0.39825625680072246,0.4604950228596266
"(0.46, 0.529]",6150,0.49430554537993604,0.08130081300813008,0.4604964257460271,0.5294519941629962
"(0.529, 0.608]",6150,0.5683075008227285,0.10357723577235772,0.5294677355149651,0.6081998672915844
"(0.608, 0.711]",6150,0.6565967144779389,0.14520325203252032,0.6082140421191254,0.7114898654225226
"(0.711, 0.999]",6151,0.7925164629464044,0.2649975613721346,0.711499049883319,0.9990308553685672
