bin,n,bads,bad_rate,p_min,p_max,lift,cum_bads,cum_bads_pct
"(0.711, 0.999]",6151,1630,0.2649975613721346,0.711499049883319,0.9990308553685672,3.2826072541934326,1630,0.3282980866062437
"(0.608, 0.711]",6150,893,0.14520325203252032,0.6082140421191254,0.7114898654225226,1.7986778670203618,2523,0.5081570996978853
"(0.529, 0.608]",6150,637,0.10357723577235772,0.5294677355149651,0.6081998672915844,1.2830434504949277,3160,0.6364551863041289
"(0.46, 0.529]",6150,500,0.08130081300813008,0.4604964257460271,0.5294519941629962,1.0070984697762384,3660,0.7371601208459214
"(0.398, 0.46]",6150,388,0.06308943089430895,0.39825625680072246,0.4604950228596266,0.7815084125463612,4048,0.8153071500503525
"(0.341, 0.398]",6151,308,0.05007315883596163,0.34147574303257605,0.398237659339798,0.6202718001788818,4356,0.8773413897280967
"(0.286, 0.341]",6150,198,0.03219512195121951,0.28553311286038796,0.34146647623616666,0.3988109940313905,4554,0.9172205438066465
"(0.229, 0.286]",6150,197,0.032032520325203255,0.22890012912959382,0.285512463631129,0.396796797091838,4751,0.9568982880161128
"(0.165, 0.229]",6150,128,0.0208130081300813,0.16464230601792273,0.2288869752831695,0.25781720826271703,4879,0.9826787512588117
"(-0.00099999678, 0.165]",6151,86,0.013981466428223054,3.2202941084146866e-09,0.16462239280581767,0.17319277537462285,4965,1.0
