feature,coef,abs_coef
cat__ORGANIZATION_TYPE_Realtor,0.8399923593915627,0.8399923593915627
cat__ORGANIZATION_TYPE_Legal Services,0.6444124175727496,0.6444124175727496
cat__NAME_EDUCATION_TYPE_Academic degree,-0.612809712281173,0.612809712281173
cat__ORGANIZATION_TYPE_Transport: type 3,0.5121952781706177,0.5121952781706177
cat__NAME_INCOME_TYPE_Pensioner,-0.5092518404593103,0.5092518404593103
num__EXT_SOURCE_3,-0.4956294178850494,0.4956294178850494
cat__ORGANIZATION_TYPE_Military,-0.4744249984543934,0.4744249984543934
cat__ORGANIZATION_TYPE_Industry: type 12,-0.44798054028324974,0.44798054028324974
cat__ORGANIZATION_TYPE_Trade: type 6,-0.446918204617124,0.446918204617124
num__AMT_GOODS_PRICE,-0.44661085493102964,0.44661085493102964
cat__NAME_INCOME_TYPE_Unemployed,0.42467547931594046,0.42467547931594046
num__AMT_CREDIT,0.3956328373643893,0.3956328373643893
num__EXT_SOURCE_2,-0.3792534005719073,0.3792534005719073
num__BASEMENTAREA_MEDI,0.37921849625012577,0.37921849625012577
num__BASEMENTAREA_AVG,-0.3691993934981936,0.3691993934981936
cat__ORGANIZATION_TYPE_Trade: type 2,-0.3618010109277396,0.3618010109277396
cat__ORGANIZATION_TYPE_Security Ministries,-0.3286779805416391,0.3286779805416391
cat__ORGANIZATION_TYPE_Advertising,0.32072412299595454,0.32072412299595454
num__LIVINGAREA_AVG,0.32033150407179495,0.32033150407179495
cat__OCCUPATION_TYPE_IT staff,-0.31537555216671026,0.31537555216671026
cat__NAME_EDUCATION_TYPE_Lower secondary,0.3081407864250069,0.3081407864250069
cat__ORGANIZATION_TYPE_Construction,0.30683683888481894,0.30683683888481894
cat__ORGANIZATION_TYPE_Hotel,-0.306060408192608,0.306060408192608
cat__ORGANIZATION_TYPE_Industry: type 9,-0.3038216919283148,0.3038216919283148
cat__OCCUPATION_TYPE_Low-skill Laborers,0.30072524463840916,0.30072524463840916
num__LIVINGAPARTMENTS_MEDI,0.28393863863048646,0.28393863863048646
cat__ORGANIZATION_TYPE_Police,-0.27988925687722926,0.27988925687722926
cat__ORGANIZATION_TYPE_Telecom,0.27831479896332484,0.27831479896332484
num__LIVINGAREA_MEDI,-0.2741710050264887,0.2741710050264887
cat__ORGANIZATION_TYPE_Transport: type 1,-0.2623950741849845,0.2623950741849845
num__OBS_30_CNT_SOCIAL_CIRCLE,0.2405213845396217,0.2405213845396217
cat__ORGANIZATION_TYPE_Trade: type 1,0.23518065515748035,0.23518065515748035
cat__NAME_HOUSING_TYPE_Office apartment,-0.2329171538023068,0.2329171538023068
num__YEARS_BUILD_MEDI,-0.2294888118836783,0.2294888118836783
cat__ORGANIZATION_TYPE_Industry: type 5,-0.2271867840490447,0.2271867840490447
num__OBS_60_CNT_SOCIAL_CIRCLE,-0.2258589862102166,0.2258589862102166
num__YEARS_BUILD_AVG,0.22322326340940746,0.22322326340940746
cat__ORGANIZATION_TYPE_Bank,-0.21411119939206347,0.21411119939206347
cat__ORGANIZATION_TYPE_Trade: type 4,-0.2115885423811528,0.2115885423811528
num__FLAG_EMP_PHONE,-0.20872162716359477,0.20872162716359477
