bin,n,avg_pred,obs_rate,p_min,p_max
"(-0.00099722, 0.0185]",6151,0.012772752242748063,0.009754511461550968,2.7815070322784e-06,0.01851490714183059
"(0.0185, 0.0274]",6150,0.023088243800870906,0.018211382113821138,0.018519177643794304,0.02741515682006799
"(0.0274, 0.0366]",6150,0.03201510168166686,0.03040650406504065,0.027415232773538818,0.036603933885138114
"(0.0366, 0.0464]",6150,0.04143741399304265,0.032682926829268294,0.036607251516616236,0.046390801913023284
"(0.0464, 0.0578]",6151,0.0519245669005243,0.045846203869289545,0.04639100969432258,0.05781733719711324
"(0.0578, 0.0721]",6150,0.06467812427835448,0.061138211382113825,0.05782268953490225,0.0721458869442794
"(0.0721, 0.0917]",6150,0.08138833361866211,0.08796747967479675,0.07215039133358572,0.09168354577061251
"(0.0917, 0.12]",6150,0.10449861680964356,0.09869918699186991,0.09168861787056759,0.11964764688003801
"(0.12, 0.173]",6150,0.14292817777206485,0.1588617886178862,0.11966049428095886,0.17275926716060896
"(0.173, 0.786]",6151,0.2523589188216764,0.2636969598439278,0.17277412925994,0.7857717797604857
