bin,n,bads,bad_rate,p_min,p_max,lift,cum_bads,cum_bads_pct
"(0.173, 0.786]",6151,1622,0.2636969598439278,0.17277412925994,0.7857717797604857,3.266496298344631,1622,0.32668680765357505
"(0.12, 0.173]",6150,977,0.1588617886178862,0.11966049428095886,0.17275926716060896,1.9678704099427702,2599,0.5234642497482377
"(0.0917, 0.12]",6150,607,0.09869918699186991,0.09168861787056759,0.11964764688003801,1.2226175423083534,3206,0.6457200402819738
"(0.0721, 0.0917]",6150,541,0.08796747967479675,0.07215039133358572,0.09168354577061251,1.08968054429789,3747,0.7546827794561933
"(0.0578, 0.0721]",6150,376,0.061138211382113825,0.05782268953490225,0.0721458869442794,0.7573380492717314,4123,0.8304128902316213
"(0.0464, 0.0578]",6151,282,0.045846203869289545,0.04639100969432258,0.05781733719711324,0.5679111936702749,4405,0.8872104733131924
"(0.0366, 0.0464]",6150,201,0.032682926829268294,0.036607251516616236,0.046390801913023284,0.4048535848500479,4606,0.927693856998993
"(0.0274, 0.0366]",6150,187,0.03040650406504065,0.027415232773538818,0.036603933885138114,0.3766548276963132,4793,0.9653575025176233
"(0.0185, 0.0274]",6150,112,0.018211382113821138,0.018519177643794304,0.02741515682006799,0.2255900572298774,4905,0.9879154078549849
"(-0.00099722, 0.0185]",6151,60,0.009754511461550968,2.7815070322784e-06,0.01851490714183059,0.12083216886601594,4965,1.0
